,MentalHealth,DevType,YearlySalary
27786,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Engineer, data;Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Engineering manager;Database administrator;DevOps specialist;Developer, embedded applications or devices;Developer, game or graphics;Project manager;Cloud infrastructure engineer;Product manager;Senior Executive (C-Suite, VP, etc.);System administrator;Security professional",195000
27787,None of the above,"Developer, full-stack;Developer, QA or test;Developer, embedded applications or devices",100000
27789,None of the above,"Developer, embedded applications or devices",34000
27796,None of the above,"Developer, full-stack;Developer, back-end",133000
27798,None of the above,"Developer, full-stack;Developer, mobile;Senior Executive (C-Suite, VP, etc.)",110250
27800,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",270000
27801,"Depression;Or, in your own words:","Developer, front-end;Developer, full-stack;Developer, QA or test",62400
27803,"Anxiety;I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Developer, mobile;Database administrator",70000
27817,Anxiety,"Data scientist or machine learning specialist;Developer, full-stack;Database administrator;Blockchain",200000
27826,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Designer;Marketing or sales professional",135000
27828,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Developer, mobile;Developer, game or graphics;Designer;System administrator",50000
27829,None of the above,"Developer, front-end;Developer, desktop or enterprise applications;Project manager",60000
27831,None of the above,"Developer, mobile;DevOps specialist",106000
27833,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;Cloud infrastructure engineer;Designer;System administrator",100000
27845,None of the above,"Developer, front-end;Developer, full-stack;Engineering manager",200000
27851,None of the above,"Developer, embedded applications or devices;Designer",70000
27854,None of the above,"Developer, full-stack;Developer, back-end;Engineering manager;Cloud infrastructure engineer",130000
27859,Depression,"Developer, full-stack;DevOps specialist;Developer, embedded applications or devices;Scientist",115000
27863,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;DevOps specialist",107571
27864,Depression,"Developer, full-stack",151000
27867,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Developer, embedded applications or devices;Developer, game or graphics;Project manager;Security professional",1920000
27882,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",140000
27891,Depression,"Developer, full-stack;Senior Executive (C-Suite, VP, etc.)",150000
27894,None of the above,"Developer, back-end",300000
27896,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;Designer",1440000
27904,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager",130000
27905,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Educator",80000
27910,None of the above,Student;Security professional,42000
27911,"Depression;I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end;Cloud infrastructure engineer",300000
27918,None of the above,"Developer, full-stack;Database administrator;Designer",55000
27924,None of the above,"Engineer, data",187000
27925,Depression,"Developer, desktop or enterprise applications;Data or business analyst",152000
27927,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",22500
27937,None of the above,Data or business analyst,984000
27941,None of the above,"Developer, full-stack",175000
27945,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;Designer",9000000
27952,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Developer, back-end",100000
27955,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test",936000
27981,None of the above,"Developer, back-end",175000
27992,None of the above,Engineering manager,170000
28001,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack",140000
28009,None of the above,"Senior Executive (C-Suite, VP, etc.)",1000000
28016,None of the above,"Developer, back-end",74000
28019,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Security professional",85000
28021,Depression;Anxiety,"Developer, full-stack;Engineering manager;System administrator",80400
28024,None of the above,Data scientist or machine learning specialist;DevOps specialist,732000
28026,"Depression;Anxiety;I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Developer, mobile",480000
28028,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, desktop or enterprise applications;Designer",48000
28037,Anxiety,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",120000
28040,None of the above,"Other;Developer, embedded applications or devices;Cloud infrastructure engineer",360000
28047,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",34000
28056,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Database administrator;DevOps specialist;Project manager;Cloud infrastructure engineer;System administrator",60000
28061,None of the above,"Developer, back-end",4500
28066,None of the above,"Developer, game or graphics",98000
28075,None of the above,"Developer, full-stack;Engineering manager",1104000
28084,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",21600
28086,None of the above,"Developer, full-stack",165000
28087,Anxiety,"Developer, front-end;Developer, back-end;Developer, game or graphics",160000
28088,None of the above,"Developer, back-end;Cloud infrastructure engineer",57500
28089,None of the above,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end;Developer, embedded applications or devices;Designer;Product manager",140000
28116,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Engineer, site reliability;Developer, full-stack;Developer, back-end;Product manager",320000
28120,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack",49400
28122,None of the above,"Developer, front-end",24000
28125,None of the above,"Developer, full-stack",480000
28128,Depression,"Developer, front-end;Developer, full-stack;DevOps specialist",45000
28132,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer",18000
28133,None of the above,"Developer, front-end;Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, mobile;Designer",30000
28135,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Data scientist or machine learning specialist;Engineer, data;DevOps specialist;Cloud infrastructure engineer",80000
28143,None of the above,"Developer, embedded applications or devices;Designer",672000
28168,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;Engineering manager;Designer;System administrator",50000
28171,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;DevOps specialist;Developer, embedded applications or devices;Product manager",80000
28187,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",840000
28194,None of the above,"Developer, front-end;Developer, full-stack",60000
28197,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Designer",120000
28205,None of the above,"Developer, front-end;Developer, full-stack",192000
28213,None of the above,"Developer, back-end;Project manager",50000
28214,Prefer not to say,"Developer, full-stack;Database administrator;DevOps specialist;Cloud infrastructure engineer;Data or business analyst;Security professional",48000
28225,None of the above,"Developer, back-end;Engineering manager",90000
28232,None of the above,"Developer, full-stack",636000
28241,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications;Cloud infrastructure engineer",80000
28246,None of the above,"Developer, full-stack;Database administrator;Cloud infrastructure engineer",44000
28248,"Or, in your own words:","Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end",52000
28259,"Or, in your own words:","Developer, full-stack",160000
28263,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",Other,160000
